No,City,1991,2001,2011,longitude,latitude,
1,London,"6,715,769","7,208,384","8,250,205",1894,2454,
2,Birmingham,"965,928","970,892","1,085,810",1610,2117,
3,Glasgow,...,"575,132","590,507",1372,990,
4,Liverpool,"538,386","523,783","552,267",1473,1808,
5,Bristol,"496,044","516,997","535,907",1437,2399,
6,Sheffield,"457,805","469,127","518,090",1694,1830,
7,Manchester,"447,863","438,752","510,746",1592,1810, 
8,Leeds,"424,194","445,795","474,632",1720,1704,
9,Edinburgh,"400,632","431,393","459,366",1535,1048,
10,Leicester,"377,700","401,448","443,760",1757,2092,
11,Bradford,"305,101","311,130","349,561",1677,1710,
12,Cardiff,"276,464","296,808","335,145",1316,2367,
13,Coventry,"299,316","305,854","325,949",1669,2151,
14,Nottingham,"270,222","249,584","289,301",1761,1922,
15,Kingston upon Hull,"310,636","301,416","284,321",1939,1772,
16,Belfast,"279,237","276,705","280,561",1019,1365,
17,Stoke-on-Trent,"266,543","259,252","270,726",1587,1945,
18,Newcastle upon Tyne,"255,362","254,777","268,064",1770,1372,
19,Derby,"223,836","229,407","255,394",1706,1997,
20,Southampton,"210,138","234,224","253,651",1631,2590,
21,Portsmouth,...,...,"238,137",1690,2638,
22,Plymouth,...,...,"234,982",1093,2676,
23,Brighton and Hove,"192,453","206,628","229,700",1870,2649,
24,Reading,"213,474",...,"218,705",1724,2451,
25,Northampton,"183,082","197,199","215,173",1783,2210,
26,Luton,"171,671","185,543","211,228",1849,2331,
27,Wolverhampton,...,...,"210,319",1549,2087,
28,Aberdeen,"182,133","185,226","195,021",1705,695,
29,Bolton,...,...,"194,189",1557,1772,
30,Bournemouth,"155,488","167,527","187,503",1545,2643,
31,Norwich,"171,304","174,047","186,682",2195,2158,
32,Swindon,"145,236","155,432","182,441",1597,2146,
33,Swansea,"171,038","169,880","179,485",1157,2311,
34,Southend-on-Sea,"158,517","160,257","175,547",2059,2461,
35,Middlesbrough,"184,773","175,479","174,700",1813,1517,
36,Sunderland,"183,310","177,739","174,286",1797,1425,
37,Milton Keynes,"102,428","122,041","171,750",1803,2262,
38,Warrington,"152,458","158,195","165,456",1536,1828,
39,Huddersfield,"147,847","149,938","162,949",1677,1787,
40,Peterborough,"134,788","136,292","161,707",1911,2118,
41,Oxford,"118,795","143,016","159,994",1701,2351,
42,Slough,"121,811","137,736","155,298",1804,2444,
43,Poole,"138,479","144,800","154,718",1524,2640,
44,York,"124,609","137,505","152,841",1826,1698,
45,Blackpool,"146,262","142,283","147,663",1470,1680,
46,Dundee,...,"145,817","147,285",1637,901,
47,Cambridge,"109,912","127,713","145,818",1982,2250,
48,Ipswich,"130,157","138,718","144,957",2147,2317,
49,Birkenhead,"149,164","137,634","142,968",1437,1818,
50,Telford,"114,251","131,489","142,723",1520,2008,
51,Gloucester,"114,003","123,205","136,362",1518,2297,
52,Sale,...,...,"134,022",1571,1827,
53,Watford,"113,080","120,960","131,982",1845,2394,
54,Newport,"115,522","118,323","128,060",1370,2359,
55,Solihull,"118,103","118,907","123,187",1631,2144,
56,High Wycombe,"106,123","110,473","120,256",1767,2406,
57,Gateshead,"118,212","112,599","120,046",1758,1388,
58,Colchester,"96,063","104,390","119,441",2092,2354,
59,Blackburn,...,...,"117,963",1583,1700,
60,Cheltenham,"102,633","110,320","116,447",1550,2286,
61,Exeter,"94,717","106,772","113,507",1200,2525,
62,Chelmsford,"97,451","99,962","110,507",2015,2396,
63,Doncaster,"103,580","101,056","109,805",1799,1821,
64,Rotherham,...,...,"109,691",1763,1864,
65,Eastbourne,"94,793","106,562","109,185",1940,2680,
66,Worthing,...,...,"109,120",1821,2648,
67,Sutton Coldfield,"106,001","105,452","109,015",1646,2080,
68,Rochdale,"100,935","102,888","107,926",1622,1770,
69,Maidstone,...,...,"107,627",2021,2541,
70,Basingstoke,"81,228","93,963","107,355",1681,2499,
71,Basildon,"100,924","99,876","107,123",2012,2430,
72,Crawley,"88,203","100,547","106,943",1870,2569,
73,Stockport,...,...,"105,878",1612,1839,
74,Woking,"101,484","105,262","105,367",1747,2467,
75,Gillingham,"94,923","98,403","104,157",2014,2508,
76,Salford,...,...,"103,886",1572,1809,
77,Wigan,"98,070","92,415","103,608",1531,1788,
78,St Helens,"106,293","102,629","102,885",1510,1802,
79,Lincoln,"97,996","104,221","100,160",1883,1928,
80,Worcester,"82,661","94,029","100,153",1540,2198,
